minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
6,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
6,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
6,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
6,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
6,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
7,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
7,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
7,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
7,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
7,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
8,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
8,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
8,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
8,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
8,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
9,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
9,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
9,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
9,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
9,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
10,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
10,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
10,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
10,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
10,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
11,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,,,,,1': Goal scored by Neco Williams - 0.06 xG,BURNOT20250920
